time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	1.39612e-309	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.312243	0.58034	0	0	0	radar	6.95323e-310	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15489	0.483257	0	0	0	lidar	1.39612e-309	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.15489	0.483257	0	0	0	radar	6.95323e-310	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.4	0.553187	0	0	0	lidar	1.39612e-309	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.4	0.553187	0	0	0	radar	6.95323e-310	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.66098	0.584801	0	0	0	lidar	1.39612e-309	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	1.66098	0.584801	0	0	0	radar	6.95323e-310	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	1.90816	0.604982	0	0	0	lidar	1.39612e-309	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	1.90816	0.604982	0	0	0	radar	6.95323e-310	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.12798	0.611366	0	0	0	lidar	1.39612e-309	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	2.12798	0.611366	0	0	0	radar	6.95323e-310	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	2.42116	0.561624	0	0	0	lidar	1.39612e-309	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	2.42116	0.561624	0	0	0	radar	6.95323e-310	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	2.69004	0.564036	0	0	0	lidar	1.39612e-309	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	2.69004	0.564036	0	0	0	radar	6.95323e-310	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	2.89713	0.605811	0	0	0	lidar	1.39612e-309	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	2.89713	0.605811	0	0	0	radar	6.95323e-310	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	3.18772	0.610512	0	0	0	lidar	1.39612e-309	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	3.18772	0.610512	0	0	0	radar	6.95323e-310	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	3.47051	0.620301	0	0	0	lidar	1.39612e-309	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	3.47051	0.620301	0	0	0	radar	6.95323e-310	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	3.73106	0.650107	0	0	0	lidar	1.39612e-309	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	3.73106	0.650107	0	0	0	radar	6.95323e-310	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	3.98484	0.655424	0	0	0	lidar	1.39612e-309	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	3.98484	0.655424	0	0	0	radar	6.95323e-310	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	4.22693	0.678599	0	0	0	lidar	1.39612e-309	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
